"No","year","month","day","hour","season","PM_US.Post","DEWP","HUMI","PRES","TEMP","cbwd","Iws","precipitation","Iprec","date"
43940,2015,1,5,19,4,143,4,44.78,1012,16,"NW",8,0,0,2015-01-05
43944,2015,1,5,23,4,161,8,67.15,1014,14,"NW",21,0,0,2015-01-05
43948,2015,1,6,3,4,238,5,71.07,1017,10,"NW",49,0,0,2015-01-06
43952,2015,1,6,7,4,101,5,76.01,1021,9,"NE",24,0,0,2015-01-06
43956,2015,1,6,11,4,25,2,70.47,1023,7,"NE",54,0,0,2015-01-06
43960,2015,1,6,15,4,37,-1,60.76,1023,6,"NE",85,0,0,2015-01-06
43964,2015,1,6,19,4,21,1,86.68,1025,3,"NE",107,0.1,0.9,2015-01-06
43968,2015,1,6,23,4,19,-1,74.96,1026,3,"NE",130,0,0,2015-01-06
43972,2015,1,7,3,4,17,-2,69.64,1026,3,"NE",150,0,0,2015-01-07
43976,2015,1,7,7,4,29,-3,64.66,1027,3,"NW",18,0,0,2015-01-07
43980,2015,1,7,11,4,44,-4,48.63,1028,6,"NW",39,0,0,2015-01-07
43984,2015,1,7,15,4,65,-5,42.1,1027,7,"NW",61,0,0,2015-01-07
43988,2015,1,7,19,4,75,-5,48.34,1030,5,"NW",10,0,0,2015-01-07
43992,2015,1,7,23,4,50,-3,74.59,1031,1,"NE",10,0,0,2015-01-07
43996,2015,1,8,3,4,48,-3,74.59,1032,1,"NW",8,0,0,2015-01-08
44000,2015,1,8,7,4,86,-3,74.59,1033,1,"NW",20,0,0,2015-01-08
44004,2015,1,8,11,4,84,-7,36.13,1032,7,"NW",37,0,0,2015-01-08
44008,2015,1,8,15,4,86,-9,26.99,1030,9,"NW",55,0,0,2015-01-08
44012,2015,1,8,19,4,108,-10,32.81,1031,5,"NW",3,0,0,2015-01-08
44016,2015,1,8,23,4,98,-5,55.63,1031,3,"NE",2,0,0,2015-01-08
44020,2015,1,9,3,4,97,-3,69.43,1031,2,"SW",1,0,0,2015-01-09
44024,2015,1,9,7,4,169,-2,80.34,1031,1,"SW",6,0,0,2015-01-09
44028,2015,1,9,11,4,175,-3,42.71,1030,9,"NW",3,0,0,2015-01-09
44032,2015,1,9,15,4,161,-4,34.66,1027,11,"NW",15,0,0,2015-01-09
44036,2015,1,9,19,4,183,-3,45.7,1029,8,"SW",2,0,0,2015-01-09
44040,2015,1,9,23,4,183,-2,56.45,1028,6,"cv",1,0,0,2015-01-09
44044,2015,1,10,3,4,205,-1,80.49,1028,2,"SW",5,0,0,2015-01-10
44048,2015,1,10,7,4,186,0,80.63,1029,3,"cv",1,0,0,2015-01-10
44052,2015,1,10,11,4,190,1,50.08,1028,11,"NW",6,0,0,2015-01-10
44056,2015,1,10,15,4,119,-4,28.47,1026,14,"NW",17,0,0,2015-01-10
44060,2015,1,10,19,4,125,-3,42.71,1027,9,"NW",27,0,0,2015-01-10
44064,2015,1,10,23,4,213,0,70.06,1026,5,"SW",4,0,0,2015-01-10
44068,2015,1,11,3,4,229,1,86.68,1026,3,"cv",0,0,0,2015-01-11
44072,2015,1,11,7,4,210,-1,80.49,1027,2,"SW",1,0,0,2015-01-11
44076,2015,1,11,11,4,142,1,43.9,1029,13,"NW",4,0,0,2015-01-11
44080,2015,1,11,15,4,118,-2,30.98,1027,15,"NE",7,0,0,2015-01-11
44084,2015,1,11,19,4,255,1,53.53,1030,10,"NE",22,0,0,2015-01-11
44088,2015,1,11,23,4,66,4,81.2,1032,7,"NE",43,0,0,2015-01-11
44092,2015,1,12,3,4,19,2,75.49,1033,6,"NE",64,0,0,2015-01-12
44096,2015,1,12,7,4,22,1,75.32,1034,5,"NE",79,0,0,2015-01-12
44100,2015,1,12,11,4,24,0,53.26,1036,9,"NE",94,0,0,2015-01-12
44104,2015,1,12,15,4,24,0,56.99,1032,8,"NE",111,0,0,2015-01-12
44108,2015,1,12,19,4,24,0,61.01,1034,7,"NE",129,0,0,2015-01-12
44112,2015,1,12,23,4,23,0,65.36,1035,6,"NE",144,0,0,2015-01-12
44116,2015,1,13,3,4,24,1,70.27,1032,6,"NE",156,0,0,2015-01-13
44120,2015,1,13,7,4,25,3,75.67,1031,7,"NE",170,0,0,2015-01-13
44124,2015,1,13,11,4,19,4,70.88,1031,9,"NE",187,,,2015-01-13
44128,2015,1,13,15,4,26,5,76.01,1028,9,"NE",205,0.4,0.6,2015-01-13
44132,2015,1,13,19,4,26,7,93.4,1027,8,"NE",226,2,6.3,2015-01-13
44136,2015,1,13,23,4,20,8,100,1026,8,"NE",241,3.3,20.5,2015-01-13
44140,2015,1,14,3,4,15,8,93.45,1024,9,"NE",260,1.5,27.2,2015-01-14
44144,2015,1,14,7,4,20,7,100,1025,7,"NE",287,1.4,35,2015-01-14
44148,2015,1,14,11,4,28,7,93.4,1025,8,"NW",12,0.2,39.9,2015-01-14
44152,2015,1,14,15,4,38,8,93.45,1025,9,"NW",35,0.1,0.5,2015-01-14
44156,2015,1,14,19,4,28,7,93.4,1026,8,"NW",56,0,0,2015-01-14
44160,2015,1,14,23,4,40,6,87.19,1027,8,"NW",9,0,0,2015-01-14
44164,2015,1,15,3,4,68,6,93.35,1027,7,"NW",25,0,0,2015-01-15
44168,2015,1,15,7,4,85,6,93.35,1028,7,"NW",39,0,0,2015-01-15
44172,2015,1,15,11,4,116,5,81.34,1029,8,"NW",54,0,0,2015-01-15
44176,2015,1,15,15,4,54,3,70.67,1026,8,"NW",73,0,0,2015-01-15
44180,2015,1,15,19,4,87,3,70.67,1027,8,"NW",89,0,0,2015-01-15
44184,2015,1,15,23,4,111,3,81.06,1026,6,"NW",101,0,0,2015-01-15
44188,2015,1,16,3,4,91,3,81.06,1026,6,"NW",111,0,0,2015-01-16
44192,2015,1,16,7,4,88,3,81.06,1026,6,"SW",2,0,0,2015-01-16
44196,2015,1,16,11,4,103,2,65.82,1026,8,"NW",13,0,0,2015-01-16
44200,2015,1,16,15,4,115,2,65.82,1025,8,"NW",34,0,0,2015-01-16
44204,2015,1,16,19,4,154,3,70.67,1028,8,"NW",53,0,0,2015-01-16
44208,2015,1,16,23,4,183,1,75.32,1031,5,"NW",76,0,0,2015-01-16
44212,2015,1,17,3,4,223,1,80.78,1031,4,"NE",2,0,0,2015-01-17
44216,2015,1,17,7,4,83,-3,69.43,1033,2,"NE",23,0,0,2015-01-17
44220,2015,1,17,11,4,49,-2,56.45,1034,6,"NE",42,0,0,2015-01-17
44224,2015,1,17,15,4,34,-3,52.41,1032,6,"NE",61,0,0,2015-01-17
44228,2015,1,17,19,4,30,-3,56.18,1033,5,"NE",78,0,0,2015-01-17
44232,2015,1,17,23,4,24,-3,60.25,1031,4,"SE",11,0,0,2015-01-17
44236,2015,1,18,3,4,31,-2,80.34,1029,1,"NE",5,0,0,2015-01-18
44240,2015,1,18,7,4,32,0,86.58,1028,2,"SW",1,0,0,2015-01-18
44244,2015,1,18,11,4,135,0,56.99,1027,8,"SW",11,0,0,2015-01-18
44248,2015,1,18,15,4,137,-1,46.29,1024,10,"NW",13,0,0,2015-01-18
44252,2015,1,18,19,4,138,-2,49.22,1025,8,"NW",31,0,0,2015-01-18
44256,2015,1,18,23,4,129,0,70.06,1028,5,"SW",9,0,0,2015-01-18
44260,2015,1,19,3,4,130,0,80.63,1028,3,"SW",5,0,0,2015-01-19
44264,2015,1,19,7,4,132,-1,80.49,1029,2,"cv",1,0,0,2015-01-19
44268,2015,1,19,11,4,104,-4,34.66,1029,11,"NE",4,0,0,2015-01-19
44272,2015,1,19,15,4,48,-8,23.89,1027,12,"NE",3,0,0,2015-01-19
44276,2015,1,19,19,4,51,-2,49.22,1028,8,"SE",4,0,0,2015-01-19
44284,2015,1,20,3,4,32,0,65.36,1027,6,"NE",11,0,0,2015-01-20
44288,2015,1,20,7,4,25,1,70.27,1026,6,"NE",3,0,0,2015-01-20
44292,2015,1,20,11,4,33,3,66.05,1026,9,"SE",19,0,0,2015-01-20
44296,2015,1,20,15,4,49,3,57.77,1021,11,"SE",42,0,0,2015-01-20
44300,2015,1,20,19,4,39,4,66.27,1022,10,"SE",61,0,0,2015-01-20
44308,2015,1,21,3,4,58,6,87.19,1022,8,"SW",15,0,0,2015-01-21
44312,2015,1,21,7,4,80,5,93.29,1021,6,"SW",23,0,0,2015-01-21
44316,2015,1,21,11,4,104,4,50.92,1021,14,"NW",4,0,0,2015-01-21
44324,2015,1,21,19,4,164,-1,40.54,1021,12,"NW",48,0,0,2015-01-21
44328,2015,1,21,23,4,130,2,70.47,1024,7,"NW",79,0,0,2015-01-21
44332,2015,1,22,3,4,152,0,70.06,1025,5,"NW",103,0,0,2015-01-22
44336,2015,1,22,7,4,156,0,75.14,1026,4,"NW",126,0,0,2015-01-22
44340,2015,1,22,11,4,118,1,65.59,1026,7,"NW",150,0,0,2015-01-22
44344,2015,1,22,15,4,93,1,65.59,1025,7,"NW",168,0,0,2015-01-22
44348,2015,1,22,19,4,131,0,70.06,1026,5,"NW",188,0,0,2015-01-22
44352,2015,1,22,23,4,142,-1,74.96,1026,3,"NE",6,0,0,2015-01-22
44356,2015,1,23,3,4,121,-1,86.47,1025,1,"SW",1,0,0,2015-01-23
44360,2015,1,23,7,4,97,-1,92.96,1025,0,"SW",1,0,0,2015-01-23
44364,2015,1,23,11,4,129,0,61.01,1024,7,"SE",13,0,0,2015-01-23
44368,2015,1,23,15,4,127,1,53.53,1021,10,"SW",13,0,0,2015-01-23
44372,2015,1,23,19,4,86,2,70.47,1022,7,"SE",16,0,0,2015-01-23
44376,2015,1,23,23,4,105,4,81.2,1022,7,"SE",30,0,0,2015-01-23
44380,2015,1,24,3,4,122,4,86.99,1021,6,"SE",41,0,0,2015-01-24
44384,2015,1,24,7,4,144,5,93.29,1022,6,"SE",49,0,0,2015-01-24
44388,2015,1,24,11,4,138,6,58.54,1022,14,"SE",60,0,0,2015-01-24
44392,2015,1,24,15,4,89,6,51.48,1020,16,"SE",13,0,0,2015-01-24
44396,2015,1,24,19,4,98,8,71.66,1021,13,"SE",30,0,0,2015-01-24
44400,2015,1,24,23,4,34,8,81.75,1020,11,"SE",50,0,0,2015-01-24
44404,2015,1,25,3,4,30,9,81.88,1020,12,"SE",69,0,0,2015-01-25
44408,2015,1,25,7,4,42,9,76.68,1020,13,"SE",13,0,0,2015-01-25
44412,2015,1,25,11,4,55,10,76.84,1020,14,"NW",1,0,0,2015-01-25
44416,2015,1,25,15,4,177,11,93.6,1019,12,"NE",3,0,0,2015-01-25
44420,2015,1,25,19,4,364,9,87.47,1022,11,"NW",17,0,0,2015-01-25
44424,2015,1,25,23,4,187,7,87.28,1023,9,"NW",37,0,0,2015-01-25
44428,2015,1,26,3,4,143,7,93.4,1024,8,"NW",11,0,0,2015-01-26
44432,2015,1,26,7,4,92,6,87.19,1023,8,"NE",12,0,0,2015-01-26
44436,2015,1,26,11,4,112,6,76.18,1024,10,"NE",22,0,0,2015-01-26
44440,2015,1,26,15,4,108,5,71.07,1022,10,"NE",8,0,0,2015-01-26
44444,2015,1,26,19,4,90,5,76.01,1024,9,"NE",27,0,0,2015-01-26
44448,2015,1,26,23,4,71,3,70.67,1025,8,"NE",47,0,0,2015-01-26
44452,2015,1,27,3,4,71,5,87.09,1026,7,"NE",69,0,0,2015-01-27
44456,2015,1,27,7,4,107,4,81.2,1027,7,"NE",87,0,0,2015-01-27
44460,2015,1,27,11,4,62,2,75.49,1028,6,"NE",112,0,0,2015-01-27
44464,2015,1,27,15,4,24,0,70.06,1028,5,"NE",143,0,0,2015-01-27
44468,2015,1,27,19,4,23,-1,74.96,1029,3,"NE",167,0,0,2015-01-27
44472,2015,1,27,23,4,25,0,93.02,1029,1,"NE",185,0.5,1,2015-01-27
44476,2015,1,28,3,4,19,-1,80.49,1030,2,"NE",206,0,0,2015-01-28
44480,2015,1,28,7,4,24,-1,74.96,1030,3,"NE",230,0,0,2015-01-28
44484,2015,1,28,11,4,30,0,75.14,1030,4,"NE",250,0,0,2015-01-28
44488,2015,1,28,15,4,26,0,70.06,1028,5,"NE",271,0,0,2015-01-28
44492,2015,1,28,19,4,20,0,70.06,1027,5,"NE",292,0,0,2015-01-28
44496,2015,1,28,23,4,20,0,70.06,1028,5,"NE",310,0.1,0.1,2015-01-28
44500,2015,1,29,3,4,18,2,86.79,1027,4,"NE",327,0.5,1.4,2015-01-29
44504,2015,1,29,7,4,14,2,93.13,1027,3,"NE",346,0.1,2.3,2015-01-29
44508,2015,1,29,11,4,23,3,93.19,1026,4,"NE",362,0,0,2015-01-29
44512,2015,1,29,15,4,20,4,93.24,1025,5,"NE",380,0.5,0.7,2015-01-29
44516,2015,1,29,19,4,28,2,86.79,1027,4,"NE",398,0.2,4.1,2015-01-29
44520,2015,1,29,23,4,35,2,93.13,1028,3,"NW",16,0.2,4.9,2015-01-29
44524,2015,1,30,3,4,39,1,86.68,1028,3,"NE",6,0,0,2015-01-30
44528,2015,1,30,7,4,60,0,86.58,1030,2,"NW",22,0,0,2015-01-30
44532,2015,1,30,11,4,70,0,75.14,1032,4,"NW",46,0,0,2015-01-30
44536,2015,1,30,15,4,120,-2,60.51,1030,5,"NE",5,0,0,2015-01-30
44540,2015,1,30,19,4,85,-4,55.91,1033,4,"NE",15,0,0,2015-01-30
44544,2015,1,30,23,4,66,-3,64.66,1034,3,"NE",33,0,0,2015-01-30
44548,2015,1,31,3,4,58,-4,64.42,1035,2,"NW",17,0,0,2015-01-31
44552,2015,1,31,7,4,66,-3,74.59,1035,1,"NW",33,0,0,2015-01-31
44556,2015,1,31,11,4,28,-4,52.13,1036,5,"NE",21,0,0,2015-01-31
44560,2015,1,31,15,4,23,-5,48.34,1034,5,"NE",40,0,0,2015-01-31
44564,2015,1,31,19,4,26,-4,60,1036,3,"NE",63,0,0,2015-01-31
44568,2015,1,31,23,4,19,-4,60,1036,3,"NE",83,0,0,2015-01-31
44572,2015,2,1,3,4,17,-3,69.43,1035,2,"NE",98,0,0,2015-02-01
44576,2015,2,1,7,4,19,-2,69.64,1034,3,"NE",112,0,0,2015-02-01
44580,2015,2,1,11,4,31,-1,65.13,1035,5,"NE",125,0,0,2015-02-01
44584,2015,2,1,15,4,32,0,65.36,1032,6,"NE",2,0,0,2015-02-01
44588,2015,2,1,19,4,36,1,75.32,1033,5,"NW",2,0,0,2015-02-01
44592,2015,2,1,23,4,26,3,93.19,1032,4,"NE",9,0,0,2015-02-01
44596,2015,2,2,3,4,33,3,93.19,1032,4,"NW",9,0,0,2015-02-02
44600,2015,2,2,7,4,29,3,93.19,1032,4,"NE",2,0,0,2015-02-02
44604,2015,2,2,11,4,33,2,75.49,1032,6,"NE",13,0,0,2015-02-02
44608,2015,2,2,15,4,31,1,65.59,1030,7,"NE",25,0,0,2015-02-02
44612,2015,2,2,19,4,30,2,70.47,1031,7,"NE",34,0,0,2015-02-02
44616,2015,2,2,23,4,35,1,70.27,1032,6,"NE",48,0,0,2015-02-02
44620,2015,2,3,3,4,39,2,75.49,1031,6,"NE",58,0,0,2015-02-03
44624,2015,2,3,7,4,37,3,86.89,1031,5,"NE",67,0,0,2015-02-03
44628,2015,2,3,11,4,39,3,75.67,1031,7,"NE",77,0,0,2015-02-03
44632,2015,2,3,15,4,41,1,65.59,1029,7,"NE",10,0,0,2015-02-03
44636,2015,2,3,19,4,61,2,75.49,1030,6,"NE",6,0,0,2015-02-03
44640,2015,2,3,23,4,47,2,80.92,1030,5,"NE",2,0,0,2015-02-03
44644,2015,2,4,3,4,72,2,80.92,1029,5,"NW",12,0,0,2015-02-04
44648,2015,2,4,7,4,157,2,86.79,1030,4,"NW",30,0,0,2015-02-04
44652,2015,2,4,11,4,177,-2,49.22,1029,8,"NW",48,0,0,2015-02-04
44656,2015,2,4,15,4,225,-4,39.63,1026,9,"NW",74,0,0,2015-02-04
44660,2015,2,4,19,4,262,-2,56.45,1028,6,"NW",93,0,0,2015-02-04
44664,2015,2,4,23,4,238,-3,60.25,1029,4,"NW",108,0,0,2015-02-04
44668,2015,2,5,3,4,203,-3,64.66,1029,3,"NW",125,0,0,2015-02-05
44672,2015,2,5,7,4,104,-3,74.59,1031,1,"NW",145,0,0,2015-02-05
44676,2015,2,5,11,4,52,-4,52.13,1032,5,"NW",6,0,0,2015-02-05
44680,2015,2,5,15,4,48,-6,41.79,1031,6,"NW",31,0,0,2015-02-05
44684,2015,2,5,19,4,52,-8,41.17,1031,4,"NW",9,0,0,2015-02-05
44688,2015,2,5,23,4,65,-6,51.56,1031,3,"cv",1,0,0,2015-02-05
44692,2015,2,6,3,4,64,-5,69,1030,0,"SE",1,0,0,2015-02-06
44696,2015,2,6,7,4,78,-4,74.41,1029,0,"SW",2,0,0,2015-02-06
44700,2015,2,6,11,4,73,-6,39.01,1029,7,"SW",11,0,0,2015-02-06
44704,2015,2,6,15,4,73,-7,31.53,1026,9,"SW",3,0,0,2015-02-06
44708,2015,2,6,19,4,78,-7,41.48,1026,5,"SW",7,0,0,2015-02-06
44712,2015,2,6,23,4,100,-5,55.63,1027,3,"SW",14,0,0,2015-02-06
44716,2015,2,7,3,4,115,-3,74.59,1025,1,"cv",1,0,0,2015-02-07
44720,2015,2,7,7,4,113,-2,80.34,1024,1,"cv",0,0,0,2015-02-07
44724,2015,2,7,11,4,96,-3,39.93,1025,10,"cv",2,0,0,2015-02-07
44728,2015,2,7,15,4,85,-6,27.88,1021,12,"NE",2,0,0,2015-02-07
44732,2015,2,7,19,4,122,0,53.26,1024,9,"SE",3,0,0,2015-02-07
44736,2015,2,7,23,4,138,-1,56.72,1026,7,"NW",4,0,0,2015-02-07
44740,2015,2,8,3,4,93,1,75.32,1029,5,"NE",23,0,0,2015-02-08
44744,2015,2,8,7,4,21,-5,59.74,1032,2,"NE",57,0,0,2015-02-08
44748,2015,2,8,11,4,22,-8,38.39,1034,5,"NE",88,0,0,2015-02-08
44752,2015,2,8,15,4,30,-9,33.12,1033,6,"NW",7,0,0,2015-02-08
44756,2015,2,8,19,4,36,-7,51.27,1034,2,"NE",28,0,0,2015-02-08
44760,2015,2,8,23,4,38,-7,59.21,1034,0,"NE",49,0,0,2015-02-08
44764,2015,2,9,3,4,16,-7,68.56,1035,-2,"NE",64,0,0,2015-02-09
44768,2015,2,9,7,4,27,-6,68.78,1035,-1,"NW",13,0,0,2015-02-09
44772,2015,2,9,11,4,26,-7,44.49,1035,4,"NW",7,0,0,2015-02-09
44776,2015,2,9,15,4,43,-10,30.61,1031,6,"NE",3,0,0,2015-02-09
44780,2015,2,9,19,4,47,-7,47.74,1031,3,"NE",13,0,0,2015-02-09
44784,2015,2,9,23,4,60,-4,64.42,1030,2,"SE",5,0,0,2015-02-09
44788,2015,2,10,3,4,62,-4,80.04,1028,-1,"SW",6,0,0,2015-02-10
44792,2015,2,10,7,4,77,-4,86.15,1027,-2,"SW",2,0,0,2015-02-10
44796,2015,2,10,11,4,56,-8,31.23,1025,8,"SW",7,0,0,2015-02-10
44800,2015,2,10,15,4,52,-12,19.88,1021,10,"SW",19,0,0,2015-02-10
44804,2015,2,10,19,4,47,-6,41.79,1021,6,"SE",3,0,0,2015-02-10
44808,2015,2,10,23,4,40,-2,64.9,1019,4,"SW",3,0,0,2015-02-10
44812,2015,2,11,3,4,61,1,80.78,1018,4,"SW",10,0,0,2015-02-11
44816,2015,2,11,7,4,85,1,86.68,1017,3,"SW",4,0,0,2015-02-11
44820,2015,2,11,11,4,75,-2,35.27,1017,13,"NW",4,0,0,2015-02-11
44824,2015,2,11,15,4,75,-2,30.98,1013,15,"SW",5,0,0,2015-02-11
44828,2015,2,11,19,4,99,-1,43.31,1014,11,"SW",18,0,0,2015-02-11
44832,2015,2,11,23,4,107,1,57.25,1015,9,"NW",3,0,0,2015-02-11
44836,2015,2,12,3,4,132,-1,52.98,1016,8,"NW",18,0,0,2015-02-12
44840,2015,2,12,7,4,213,-1,60.76,1018,6,"NW",33,0,0,2015-02-12
44844,2015,2,12,11,4,258,1,50.08,1019,11,"NW",50,0,0,2015-02-12
44848,2015,2,12,15,4,211,-2,35.27,1018,13,"NW",67,0,0,2015-02-12
44852,2015,2,12,19,4,53,2,61.51,1019,9,"NE",14,0,0,2015-02-12
44856,2015,2,12,23,4,31,3,81.06,1020,6,"NE",7,0,0,2015-02-12
44860,2015,2,13,3,4,38,2,75.49,1020,6,"SE",3,0,0,2015-02-13
44864,2015,2,13,7,4,53,2,75.49,1020,6,"NE",6,0,0,2015-02-13
44868,2015,2,13,11,4,52,-2,37.66,1021,12,"SE",14,0,0,2015-02-13
44872,2015,2,13,15,4,69,3,50.65,1019,13,"SE",32,0,0,2015-02-13
44876,2015,2,13,19,4,49,2,57.51,1022,10,"SE",50,0,0,2015-02-13
44880,2015,2,13,23,4,30,3,70.67,1022,8,"SE",65,0,0,2015-02-13
44884,2015,2,14,3,4,42,4,81.2,1020,7,"SE",81,0,0,2015-02-14
44888,2015,2,14,7,4,48,6,87.19,1020,8,"SE",95,0,0,2015-02-14
44892,2015,2,14,11,4,76,10,72.04,1020,15,"SE",115,0,0,2015-02-14
44896,2015,2,14,15,4,73,9,55.67,1017,18,"SE",136,,,2015-02-14
44900,2015,2,14,19,4,55,9,67.36,1017,15,"SE",156,0,0,2015-02-14
44904,2015,2,14,23,4,49,10,67.57,1017,16,"SE",179,0,0,2015-02-14
44908,2015,2,15,3,4,49,11,87.66,1016,13,"SW",1,0,0,2015-02-15
44912,2015,2,15,7,4,47,12,93.65,1016,13,"SE",4,0.7,2.4,2015-02-15
44916,2015,2,15,11,4,59,14,93.75,1015,15,"SW",4,0.2,4.2,2015-02-15
44920,2015,2,15,15,4,45,13,72.6,1013,18,"SW",19,0,0,2015-02-15
44924,2015,2,15,19,4,65,13,82.4,1014,16,"NW",6,0,0,2015-02-15
44928,2015,2,15,23,4,93,13,87.84,1016,15,"NW",17,0,0,2015-02-15
44932,2015,2,16,3,4,82,12,87.75,1016,14,"NW",29,0,0,2015-02-16
44936,2015,2,16,7,4,105,10,82.01,1018,13,"NW",46,0,0,2015-02-16
44940,2015,2,16,11,4,122,8,76.52,1019,12,"NW",73,0,0,2015-02-16
44944,2015,2,16,15,4,111,8,62.95,1017,15,"NW",94,0,0,2015-02-16
44948,2015,2,16,19,4,131,8,71.66,1019,13,"NW",113,0,0,2015-02-16
44952,2015,2,16,23,4,151,7,87.28,1020,9,"NE",9,0,0,2015-02-16
44956,2015,2,17,3,4,156,7,93.4,1020,8,"NE",20,0,0,2015-02-17
44960,2015,2,17,7,4,169,5,81.34,1021,8,"NE",34,,,2015-02-17
44964,2015,2,17,11,4,119,3,57.77,1022,11,"SW",2,0,0,2015-02-17
44968,2015,2,17,15,4,71,-4,28.47,1021,14,"NE",4,0,0,2015-02-17
44972,2015,2,17,19,4,74,-3,39.93,1023,10,"NE",20,0,0,2015-02-17
44976,2015,2,17,23,4,88,-6,36.44,1024,8,"SE",2,0,0,2015-02-17
44980,2015,2,18,3,4,88,0,70.06,1025,5,"SW",3,0,0,2015-02-18
44984,2015,2,18,7,4,91,0,75.14,1026,4,"cv",0,0,0,2015-02-18
44988,2015,2,18,11,4,93,1,50.08,1027,11,"NE",13,0,0,2015-02-18
44992,2015,2,18,15,4,29,-1,43.31,1026,11,"NE",36,0,0,2015-02-18
44996,2015,2,18,19,4,44,-1,60.76,1028,6,"NE",61,0,0,2015-02-18
45000,2015,2,18,23,4,40,-1,65.13,1029,5,"NE",85,0,0,2015-02-18
45004,2015,2,19,3,4,21,-2,69.64,1029,3,"NE",101,0,0,2015-02-19
45008,2015,2,19,7,4,25,-3,60.25,1029,4,"NE",112,0,0,2015-02-19
45012,2015,2,19,11,4,18,-2,46,1029,9,"SE",4,0,0,2015-02-19
45016,2015,2,19,15,4,15,-3,34.97,1026,12,"SE",10,0,0,2015-02-19
45020,2015,2,19,19,4,26,1,65.59,1026,7,"SE",28,0,0,2015-02-19
45024,2015,2,19,23,4,19,1,70.27,1025,6,"SE",8,0,0,2015-02-19
45028,2015,2,20,3,4,20,3,75.67,1022,7,"SE",30,0,0,2015-02-20
45032,2015,2,20,7,4,25,5,81.34,1021,8,"SE",53,0,0,2015-02-20
45036,2015,2,20,11,4,18,5,66.49,1020,11,"SE",83,0,0,2015-02-20
45040,2015,2,20,15,4,18,8,87.38,1016,10,"SE",114,2.2,2.6,2015-02-20
45044,2015,2,20,19,4,21,9,87.47,1015,11,"SE",137,1.2,8.2,2015-02-20
45048,2015,2,20,23,4,21,10,87.57,1015,12,"SE",155,0.1,8.8,2015-02-20
45052,2015,2,21,3,4,22,11,100,1013,11,"SW",3,0.1,10.3,2015-02-21
45056,2015,2,21,7,4,53,9,93.5,1014,10,"NW",17,0.1,0.1,2015-02-21
45060,2015,2,21,11,4,59,8,93.45,1017,9,"NW",36,0.1,0.3,2015-02-21
45064,2015,2,21,15,4,81,7,76.35,1016,11,"NW",56,0,0,2015-02-21
45068,2015,2,21,19,4,86,6,81.48,1018,9,"NW",71,0,0,2015-02-21
45072,2015,2,21,23,4,96,6,81.48,1020,9,"NW",85,0,0,2015-02-21
45076,2015,2,22,3,4,122,6,87.19,1020,8,"NW",97,0,0,2015-02-22
